#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,,North America,,"108,116,472","+8,861","1,496,823",+13,"101,112,538","+26,031","5,507,111","9,504",,,,,,North America,,,,,,,
,,Asia,,"164,591,582","+134,252","1,443,365",+47,"158,285,366","+58,216","4,862,851","11,151",,,,,,Asia,,,,,,,
,,South America,,"61,200,615","+1,440","1,310,886",+3,"58,093,628","+7,261","1,796,101","10,461",,,,,,South America,,,,,,,
,,Europe,,"210,829,262",,"1,865,015",,"199,745,369","+146,367","9,218,878","6,754",,,,,,Europe,,,,,,,
,,Oceania,,"10,656,295","+47,080","15,233",+51,"10,128,400","+8,675","512,662",184,,,,,,Australia/Oceania,,,,,,,
,,Africa,,"12,443,974",,"256,424",,"11,588,336",,"599,214","1,004",,,,,,Africa,,,,,,,
,,,,721,,15,,706,,0,0,,,,,,,,,,,,,
,World,"567,838,921","+191,633","6,387,761",+114,"538,954,343","+246,550","22,496,817","39,058","72,848",819.5,,,,All,,,,,,,
87,Venezuela,"530,402",,"5,748 ",,"521,043",,"3,611",36,"18,761",203,"3,359,014","118,811","28,271,881 ",South America,"534,9198",,,128
88,Moldova,"520,321",,"11,567 ",,"504,142",,"4,612",49,"129,598","2,881","3,216,305","801,098","4,014,872 ",Europe,83471,,,"1,149"
89,Egypt,"515,645",,"24,613 ",,"442,182",,"48,850",122,"4,852",232,"3,693,367","34,756","106,266,403 ",Africa,"2064,31729",,,460
90,Libya,"502,289",,"6,430 ",,"490,973",,"4,886",101,"71,129",911,"2,477,219","350,799","7,061,642 ",Africa,"141,0983",,,692
91,Ethiopia,"491,086",,"7,561 ",,"468,107",,"15,418",40,"4,066",63,"5,104,319","42,267","120,764,566 ",Africa,"24615,97224",,,128
92,Honduras,"430,672",,"10,912 ",,"132,498",,"287,262",105,"42,117","1,067","1,415,120","138,391","10,225,526 ",North America,249377,,,"28,093"
93,Réunion,"429,237",,825 ,,"418,572",,"9,840",10,"472,558",908,"1,603,660","1,765,510","908,327 ",Africa,"21,1011",,,"10,833"
94,Armenia,"423,771",,"8,629 ",,"412,661",,"2,481",,"142,467","2,901","3,109,931","1,045,523","2,974,523 ",Asia,73451,,,834
95,Qatar,"395,051",,680 ,,"387,502",,"6,869",6,"140,697",242,"3,702,093","1,318,501","2,807,805 ",Asia,"74,1291",,,"2,446"
96,Oman,"391,641",,"4,260 ",,"384,669",,"2,712",2,"72,915",793,"25,000,000","4,654,459","5,371,193 ",Asia,"141,2610",,,505
