#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
100,Botswana,"324,841",,"2,760 ",,"321,024",,"1,057",1,"132,670","1,127","2,026,898","827,817","2,448,485 ",Africa,88871,,,432
101,North Macedonia,"319,037",,"9,339 ",,"306,979",,"2,719",,"153,148","4,483","2,082,678","999,749","2,083,200 ",Europe,72231,,,"1,305"
102,Albania,"296,732",,"3,518 ",,"284,013",,"9,201",,"103,341","1,225","1,866,752","650,122","2,871,389 ",Europe,108162,,,"3,204"
103,Luxembourg,"274,524",,"1,102 ",,"259,768",,"13,654",,"424,465","1,704","4,349,750","6,725,520","646,753 ",Europe,25870,,,"21,112"
104,Algeria,"266,487",,"6,875 ",,"178,804",,"80,808",6,"5,861",151,"230,861","5,078","45,466,328 ",Africa,"1716,613197",,,"1,777"
105,Nigeria,"259,007",,"3,144 ",,"250,485",,"5,378",11,"1,196",15,"5,349,305","24,701","216,561,537 ",Africa,"83668,88140",,,25
106,Zimbabwe,"256,083",,"5,566 ",,"249,862",,655,12,"16,733",364,"2,424,666","158,430","15,304,290 ",Africa,"602,7506",,,43
107,Montenegro,"247,609",,"2,732 ",,"240,795",,"4,082",6,"394,139","4,349","2,519,568","4,010,595","628,228 ",Europe,32300,,,"6,498"
108,Uzbekistan,"242,305",,"1,637 ",,"239,196",,"1,472",23,"7,032",48,"1,377,915","39,987","34,458,694 ",Asia,"14221,05025",,,43
109,Mozambique,"229,077",,"2,215 ",,"226,438",,424,11,"6,933",67,"1,360,359","41,171","33,041,643 ",Africa,"14414,91724",,,13
110,Laos,"210,546",,757 ,,N/A,N/A,N/A,,"28,107",101,"1,233,207","164,627","7,490,927 ",Asia,"369,8966",,,"26,983"
111,Martinique,"207,969",,987 ,,104,,"206,878",8,"555,070","2,634","828,928","2,212,410","374,672 ",North America,23800,,,"552,158"
112,Kyrgyzstan,"201,329",,"2,991 ",,"196,406",,"1,932",131,"29,854",444,"1,907,195","282,808","6,743,771 ",Asia,"332,2554",,,286
113,Iceland,"199,611",,179 ,,N/A,N/A,N/A,1,"577,311",518,"1,979,580","5,725,301","345,760 ",Europe,"21,9320",,,"357,899"
114,Maldives,"183,908",,307 ,,"163,687",,"19,914",25,"328,428",548,"2,213,831","3,953,517","559,965 ",Asia,"31,8240",,,"35,563"
115,Afghanistan,"183,687",,"7,733 ",,"165,726",,"10,228","1,124","4,511",190,"1,015,340","24,937","40,716,715 ",Asia,"2225,26540",,,251
116,Brunei ,"182,950",,225 ,,"164,116",,"18,609",3,"410,180",504,"717,784","1,609,295","446,024 ",Asia,"21,9821",,,"41,722"
117,El Salvador,"180,970",,"4,177 ",,"165,895",,"10,898",8,"27,617",637,"2,368,512","361,442","6,552,958 ",North America,"361,5693",,,"1,663"
118,Guadeloupe,"175,348",,958 ,,"2,250",,"172,140",19,"438,081","2,393","938,039","2,343,551","400,264 ",North America,24180,,,"430,066"
119,Namibia,"169,253",,"4,065 ",,"164,813",,375,,"64,238","1,543","1,062,663","403,322","2,634,773 ",Africa,166482,,,142
120,Trinidad and Tobago,"169,227",,"4,039 ",,"159,174",,"6,014",18,"120,127","2,867","783,472","556,154","1,408,731 ",North America,83492,,,"4,269"
121,Uganda,"168,776",,"3,627 ",,"100,420",,"64,729",5,"3,467",74,"2,982,670","61,261","48,687,606 ",Africa,"28813,42416",,,"1,329"
122,Ghana,"167,215",,"1,456 ",,"165,153",,606,2,"5,162",45,"2,479,277","76,530","32,396,041 ",Africa,"19422,25013",,,19
123,Jamaica,"144,881",,"3,171 ",,"92,449",,"49,261",,"48,495","1,061","1,140,821","381,861","2,987,528 ",North America,219423,,,"16,489"
124,Cambodia,"136,477",,"3,056 ",,"133,302",,119,,"7,939",178,"3,005,631","174,838","17,190,970 ",Asia,"1265,6256",,,7
125,Rwanda,"131,906",,"1,464 ",,"45,522",,"84,920",,"9,694",108,"5,620,449","413,051","13,607,149 ",Africa,"1039,2952",,,"6,241"
126,Cameroon,"120,068",,"1,931 ",,"117,791",,346,13,"4,304",69,"1,751,774","62,802","27,893,764 ",Africa,"23214,44516",,,12
127,Malta,"111,149",,773 ,,"103,974",,"6,402",4,"250,369","1,741","2,001,696","4,508,923","443,941 ",Europe,45740,,,"14,421"
128,Angola,"102,209",,"1,912 ",,"97,149",,"3,148",,"2,924",55,"1,499,795","42,911","34,951,697 ",Africa,"34218,28023",,,90
129,DRC,"91,737",,"1,376 ",,"50,930",,"39,431",,964,14,"846,704","8,902","95,115,482 ",Africa,"1,03769,125112",,,415
130,French Guiana,"89,779",,402 ,,"11,254",,"78,123",1,"285,489","1,278","644,972","2,050,955","314,474 ",South America,47820,,,"248,424"
131,Barbados,"87,754",,479 ,,"85,350",,"1,925",,"304,603","1,663","716,572","2,487,294","288,093 ",North America,36010,,,"6,682"
132,Malawi,"86,968",,"2,655 ",,"83,551",,762,67,"4,319",132,"597,746","29,682","20,138,291 ",Africa,"2327,58534",,,38
133,Senegal,"86,791",,"1,968 ",,"84,603",,220,,"4,919",112,"1,125,833","63,808","17,643,980 ",Africa,"2038,96516",,,12
134,Channel Islands,"85,848",,181 ,,"82,813",,"2,854",,"484,656","1,022","1,252,808","7,072,737","177,132 ",Europe,29790,,,"16,112"
135,Ivory Coast,"84,616",,808 ,,"83,565",,243,,"3,054",29,"1,567,145","56,554","27,710,703 ",Africa,"32734,29518",,,9
136,Suriname,"80,919",,"1,377 ",,"49,590",,"29,952",,"135,462","2,305","238,251","398,844","597,354 ",South America,74343,,,"50,141"
137,French Polynesia,"74,113",,649 ,,N/A,N/A,N/A,7,"260,759","2,283",,,"284,220 ",Australia/Oceania,4438,,,"140,609"
138,Eswatini,"73,243",,"1,417 ",,"71,788",,38,11,"61,826","1,196","1,039,299","877,291","1,184,668 ",Africa,168361,,,32
139,Guyana,"68,972",,"1,267 ",,"66,686",,"1,019",,"86,834","1,595","670,394","844,013","794,293 ",South America,126271,,,"1,283"
140,Fiji,"66,975",,870 ,,"64,368",,"1,737",,"73,624",956,"592,054","650,827","909,695 ",Australia/Oceania,"141,0462",,,"1,909"
141,New Caledonia,"66,596",,314 ,,"64,483",,"1,799",9,"228,776","1,079","98,964","339,969","291,097 ",Australia/Oceania,49273,,,"6,180"
142,Madagascar,"66,289",,"1,406 ",,"64,277",,606,6,"2,275",48,"484,927","16,639","29,143,130 ",Africa,"44020,72860",,,21
143,Belize,"66,179",,680 ,,"64,810",,689,6,"160,491","1,649","576,016","1,396,900","412,353 ",North America,66061,,,"1,671"
144,Sudan,"62,872",,"4,955 ",,N/A,N/A,N/A,,"1,369",108,"562,941","12,254","45,937,684 ",Africa,"7319,27182",,,383
145,Mauritania,"61,970",,989 ,,"59,504",,"1,477",,"12,650",202,"894,186","182,526","4,898,960 ",Africa,"794,9535",,,301
146,Cabo Verde,"61,922",,409 ,,"61,174",,339,23,"108,959",720,"401,416","706,339","568,305 ",Africa,"91,3891",,,597
147,Bhutan,"60,109",,21 ,,"59,959",,129,,"76,190",27,"2,303,734","2,920,037","788,940 ",Asia,"1337,5690",,,164
148,Syria,"56,005",,"3,150 ",,"52,790",,65,,"3,049",171,"146,269","7,963","18,367,863 ",Asia,"3285,831126",,,4
149,Gabon,"48,289",,306 ,,"47,477",,506,,"20,699",131,"1,604,748","687,888","2,332,863 ",Africa,"487,6241",,,217
150,Seychelles,"45,185",,167 ,,"44,755",,263,,"453,715","1,677",,,"99,589 ",Africa,2596,,,"2,641"
